"TestId","Date","Time","Name","Segment","Position","Type","Excluded","Tags","System Weight","Jump Height","Jump Momentum","Countermovement Depth","Braking RFD","Stiffness","Force at Min Displacement","Relative Force at Min Displacement","Avg. Braking Force","Avg. Relative Braking Force","Peak Braking Force","Peak Relative Braking Force","Avg. Propulsive Force","Avg. Relative Propulsive Force","Peak Propulsive Force","Peak Relative Propulsive Force","Unweighting Phase","Unweighting Phase %","Braking Phase","Braking Phase %","Propulsive Phase","Propulsive Phase %","Flight Time","Time To Takeoff","Braking Net Impulse","Propulsive Net Impulse","Positive Impulse","Positive Net Impulse","Impulse Ratio","Avg. Braking Velocity","Peak Braking Velocity","Avg. Propulsive Velocity","Takeoff Velocity","Peak Velocity","Avg. Braking Power","Avg. Relative Braking Power","Peak Braking Power","Peak Relative Braking Power","Avg. Propulsive Power","Avg. Relative Propulsive Power","Peak Relative Propulsive Power","Peak Propulsive Power","L|R Peak Braking Force","Left Force at Peak Braking Force","Right Force at Peak Braking Force","L|R Avg. Braking Force","Left Avg. Braking Force","Right Avg. Braking Force","L|R Peak Propulsive Force","Left Force at Peak Propulsive Force","Right Force at Peak Propulsive Force","L|R Avg. Propulsive Force","Left Avg. Propulsive Force","Right Avg. Propulsive Force","L|R Avg. Braking RFD","Left Avg. Braking RFD","Right Avg. Braking RFD","L|R Braking Impulse Index","L|R Propulsive Impulse Index","Time to Stabilization","Landing Height","Landing Performance Index","Landing Phase","Landing Stiffness","Peak Landing Force","Avg. Landing Force","Relative Peak Landing Force","L|R Peak Landing Force","Left Force at Peak Landing Force","Right Force at Peak Landing Force","L|R Avg. Landing Force","Left Avg. Landing Force","Right Avg. Landing Force","L|R Landing Impulse Index","RSI","mRSI","Braking Impulse","Relative Braking Impulse","Relative Braking Net Impulse","Propulsive Impulse","Relative Propulsive Impulse","Relative Propulsive Net Impulse"
"iKuIvaMEcl4U6Q7veNmJ","09/16/2024","17:19:16","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",691.21,0.4112,200.1121,-0.2771,9448.8189,-6854.9467,1899,274.7356,1445.6378,209.146,1893,273.8676,1643.3839,237.7546,1970,285.0075,0.305,47.4339,0.127,19.7512,0.211,32.8149,0.592,0.643,95.2048,201.8357,530.6695,297.0405,2.12,-0.8647,-1.3663,1.7485,2.8401,2.9296,-1115.5313,-15.8322,-1541.9983,-21.8848,2559.9072,36.3315,60.8144,4284.9661,-0.5811,941,952,-3.1646,699.9449,745.6929,-1.6244,969,1001,0.9015,829.0995,814.2844,0.1667,4732.2835,4716.5354,-6.1552,1.7573,"N/A",N/A,N/A,N/A,-4564.5298,3047,831.0501,440.8212,34.5586,2050,997,10.0296,457.2005,373.8496,"N/A",0.9207,0.6394,182.9885,2.5971,1.3512,347.681,4.9345,2.8646
"eO0iNWqFwruwdv09oD14","09/16/2024","17:15:31","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",692.481,0.3668,189.4013,-0.2878,7131.0345,-6003.687,1727,249.3931,1356.5724,195.9003,1729,249.6819,1453.0281,209.8293,1727,249.3931,0.501,55.9777,0.145,16.2011,0.249,27.8212,0.542,0.895,95.7718,190.2267,558.836,285.9985,1.9863,-0.8637,-1.359,1.6667,2.6831,2.8039,-1047.6391,-14.8413,-1451.595,-20.564,2178.31,30.8589,53.1045,3748.6081,-2.0243,847,882,0.7366,683.2828,673.2897,-5.0376,820,907,-4.6014,693.0843,759.9438,-14.8936,3034.4828,4096.5517,1.5442,-8.7744,"N/A",N/A,N/A,N/A,-4900.3959,2698,886.645,389.6136,-88.8807,150,2548,-29.2615,313.5998,573.0452,"N/A",0.6056,0.41,196.1815,2.7792,1.3567,362.6545,5.1375,2.6948
"Us5vKHs4xwCiE6U2Ku7W","09/16/2024","17:15:25","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",692.151,0.3866,194.2977,-0.2878,8522.7273,-6326.4413,1821,263.0929,1437.447,207.6782,1821,263.0929,1547.4009,223.5641,1821,263.0929,0.261,42.0968,0.132,21.2903,0.227,36.6129,0.572,0.62,97.8091,195.0307,541.322,292.8398,1.994,-0.8663,-1.3873,1.6795,2.7538,2.8448,-1113.9686,-15.7885,-1572.0862,-22.2815,2345.1069,33.2377,56.9264,4016.483,1.4827,924,897,0.9692,725.6894,711.7576,1.4827,924,897,-0.8501,767.1233,780.2775,-0.9778,4219.697,4303.0303,1.9307,-1.6621,"N/A",N/A,N/A,N/A,-4353.9824,3396,914.5323,490.6444,2.8269,1746,1650,-8.6258,417.8233,496.7089,"N/A",0.9226,0.6234,189.173,2.6812,1.3863,352.149,4.9911,2.7642
"6Hon5vQm69B24USOi0OF","09/10/2024","15:24:25","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",680.963,0.3741,188.0569,-0.2784,8014.7059,-6378.242,1776,260.8071,1358.1838,199.4505,1776,260.8071,1532.9864,225.1204,1821,267.4154,0.342,48.927,0.136,19.4564,0.221,31.6166,0.567,0.699,91.5505,189.1722,523.8265,280.7227,2.0663,-0.8312,-1.3255,1.6821,2.7092,2.8097,-1014.3784,-14.6132,-1429.0104,-20.5864,2302.1825,33.1654,55.9339,3882.6596,-2.1396,869,907,-4.7474,646.8529,711.3309,-2.3613,889,932,-1.4487,755.3891,777.5973,0.7339,4036.7647,3977.9412,-9.0948,-2.8671,"820",N/A,N/A,N/A,-6393.4317,3472,930.4098,509.8662,16.5899,2024,1448,1.2997,471.2512,459.1585,"2.5688",0.8112,0.5352,184.1615,2.653,1.3189,339.665,4.8932,2.7252
"YJxyXnmds2p3QdfvQ7El","09/10/2024","15:21:41","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",681.96,0.3625,185.3756,-0.303,7315.0685,-5792.5884,1755,257.3465,1327.726,194.6927,1752,256.9066,1500.2026,219.984,1804,264.5316,0.278,42.7035,0.146,22.427,0.227,34.8694,0.57,0.651,93.7428,186.6046,534.7185,280.3474,1.9906,-0.8612,-1.3566,1.6608,2.6666,2.7689,-1025.4783,-14.7515,-1414.3488,-20.3454,2225.3615,32.0118,53.4883,3718.3373,-2.968,850,902,-4.3684,634.863,692.863,-4.3237,863,941,-2.9059,728.304,771.8987,-7.3034,3390.411,3924.6575,-8.3564,-5.6524,"N/A",N/A,N/A,N/A,-4071.8325,4414,857.2184,647.252,3.1264,2276,2138,7.5412,460.9314,396.287,"N/A",0.8756,0.5567,193.309,2.7808,1.3485,341.4095,4.9112,2.6843
"GQU2mMYT7Lh394k98MWo","09/10/2024","15:19:26","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",681.86,0.3772,189.0944,-0.2703,7638.8889,-6626.8557,1791,262.6639,1349.7361,197.9492,1791,262.6639,1548.6009,227.1142,1854,271.9033,0.252,41.0423,0.144,23.4528,0.218,35.5049,0.565,0.614,95.6127,189.824,532.27,285.4367,1.9853,-0.8841,-1.3767,1.6926,2.7205,2.8187,-1060.2715,-15.2543,-1420.1506,-20.4319,2338.1662,33.6395,56.2981,3913.0876,2.2892,916,875,-3.759,649.5,700.2361,-1.5102,913,941,-2.1567,757.6009,791,17.2727,4479.1667,3159.7222,-7.3496,-4.1882,"N/A",N/A,N/A,N/A,-5046.0275,3842,834.3468,563.4588,37.4284,2640,1202,-1.8397,409.4988,424.848,"N/A",0.9202,0.6144,193.8005,2.7882,1.3756,338.4695,4.8696,2.731
"ftOlLYsLVtnCrHbs7Fhv","09/09/2024","16:37:53","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",671.546,0.3795,186.8062,-0.2987,7963.2353,-5885.006,1758,261.784,1378.9485,205.3394,1758,261.784,1483.2087,220.8648,1776,264.4644,0.279,43.2558,0.136,21.0853,0.23,35.6589,0.553,0.645,95.6577,187.5429,528.9865,283.2007,1.9606,-0.868,-1.3988,1.6942,2.7289,2.8327,-1075.3418,-15.7087,-1511.0978,-22.0742,2249.7708,32.8648,55.9115,3827.4352,-2.5028,857,901,-4.4327,658.9118,720.0368,-2.3649,867,909,-2.4418,723.4957,759.713,-0.6464,3955.8824,4007.3529,-8.5091,-4.7603,"N/A",N/A,N/A,N/A,-5738.9676,3152,847.1042,469.3647,-14.1497,1353,1799,-10.2727,380.042,467.0622,"N/A",0.8574,0.5885,186.988,2.7315,1.3974,341.9985,4.9959,2.7396
"dG3Oi0bKhSvk870J3P2h","09/09/2024","16:35:31","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",679.499,0.3764,188.2462,-0.3038,6320.2614,-5413.8977,1644,241.943,1289.3529,189.7505,1645,242.0901,1450.2367,213.4274,1653,243.2675,0.263,39.7882,0.153,23.1467,0.245,37.0651,0.56,0.661,92.8192,189.6387,552.8985,282.4579,2.0431,-0.8578,-1.3507,1.6339,2.7177,2.817,-995.8052,-14.3765,-1367.3864,-19.7411,2158.0546,31.1561,54.9233,3804.3166,3.9514,855,790,0.3898,647.1895,642.1634,3.8113,858,795,2.296,741.7673,708.4694,10.031,3477.1242,2843.1373,0.7286,4.4887,"N/A",N/A,N/A,N/A,-4138.995,3325,858.8534,489.3311,26.9774,2111,1214,2.0852,438.381,420.4725,"N/A",0.8472,0.5695,196.7825,2.841,1.34,356.116,5.1413,2.7378
"SUU41dKJGDrvLG857IO6","09/09/2024","16:33:22","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",675.962,0.3871,189.9265,-0.2664,11150.4425,-7275.9725,1938,286.7025,1521.6106,225.103,1938,286.7025,1590.0529,235.2281,1970,291.4365,0.268,45.5008,0.113,19.1851,0.208,35.3141,0.562,0.589,94.9208,191.0804,502.985,286.0012,2.0131,-0.8648,-1.385,1.7428,2.7563,2.855,-1169.394,-16.971,-1723.2773,-25.0093,2440.811,35.4226,58.6227,4039.4224,-3.096,939,999,-0.0733,760.2478,761.3628,-3.1472,954,1016,-2.3775,776.125,813.9279,-11.1111,4955.7522,6194.6903,-0.0671,-4.6445,"N/A",N/A,N/A,N/A,-5310.2252,2549,858.2386,377.0922,2.4716,1306,1243,-6.1123,402.8904,455.3482,"N/A",0.9542,0.6574,171.3045,2.4861,1.3776,331.6805,4.8136,2.7731
"O8dToGq9mODywhNnSScS","09/06/2024","12:51:32","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",682.176,0.3665,186.5091,-0.2911,6978.5714,-5716.8819,1664,243.9253,1334.8,195.668,1661,243.4856,1492.7749,218.8255,1740,255.0661,0.314,45.8394,0.14,20.438,0.231,33.7226,0.54,0.685,90.8729,188.0623,532.0225,278.9352,2.0695,-0.8166,-1.3198,1.6442,2.6821,2.7914,-989.6115,-14.2311,-1432.4735,-20.5996,2208.2131,31.7551,55.948,3890.5555,-2.5888,809,852,0.274,669.2286,665.5714,-2.069,852,888,-3.2471,722.1515,770.6234,-7.2671,3235.7143,3742.8571,0.5847,-6.2783,"980",N/A,N/A,N/A,-4221.2976,3462,873.4949,507.4937,-10.9185,1542,1920,-24.227,330.9367,542.5582,"39.0146",0.7883,0.5352,186.3775,2.6802,1.3068,345.645,4.9705,2.7044
"yS1cZWV9euSeRdiIaxlT","09/06/2024","12:49:47","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",686.269,0.3602,185.9358,-0.2771,8621.2121,-6607.6474,1831,266.805,1391.197,202.7189,1828,266.3679,1546.8894,225.4057,1848,269.2822,0.267,43.3442,0.132,21.4286,0.217,35.2273,0.552,0.616,92.4765,187.6516,519.636,280.1281,2.0292,-0.8575,-1.337,1.6577,2.6579,2.7577,-1062.1785,-15.1835,-1450.5106,-20.7346,2280.4386,32.5982,54.5857,3818.5989,-0.9847,905,923,-1.4986,685.1742,706.0227,-0.3247,921,927,0.5365,777.5945,769.2949,-2.109,4219.697,4401.5152,-2.9493,1.0386,"1080",N/A,N/A,N/A,-4338.6119,2394,858.9389,348.8428,22.4728,1466,928,9.4341,469.9861,388.9528,"17.251",0.8961,0.5845,183.064,2.6168,1.3219,336.572,4.8112,2.6824
"AhRuqkMp6PT3HftNcJxJ","09/06/2024","12:48:50","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",684.235,0.3904,193.057,-0.283,9092.3077,-6602.4439,1868,273.0056,1413.6,206.5957,1868,273.0056,1553.2063,226.999,1874,273.8825,0.255,41.9408,0.13,21.3816,0.223,36.6776,0.575,0.608,94.2195,194.6931,530.4475,288.9125,2.0664,-0.8736,-1.365,1.7144,2.7679,2.8586,-1097.6218,-15.7368,-1519.2682,-21.782,2375.2601,34.0545,56.4887,3940.0147,-1.8201,917,951,-2.3878,689.9231,723.6769,-2.0277,918,956,-0.4899,772.7982,780.4081,-0.6768,4515.3846,4576.9231,-4.6749,-0.9888,"880",N/A,N/A,N/A,-5086.3127,3260,915.9955,476.4445,0.3681,1636,1624,0.5508,460.5205,455.475,"1.1185",0.9457,0.6422,183.17,2.6261,1.3508,347.2775,4.979,2.7913
"zs4XmjhsVSaaljYcCIxx","09/04/2024","14:42:13","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",669.153,0.3983,190.681,-0.2949,7607.1429,-5884.5487,1736,259.4324,1304.4714,194.9437,1736,259.4324,1520.8973,227.2869,1793,267.9507,0.454,55.5012,0.14,17.1149,0.224,27.3839,0.57,0.818,88.4066,191.6392,523.6175,280.0458,2.1677,-0.8302,-1.3008,1.7164,2.7954,2.8928,-967.7407,-14.1874,-1337.8526,-19.6134,2342.4217,34.3407,58.6904,4003.3511,-4.0323,833,903,-1.5726,641.9786,662.4929,-3.7368,863,930,-3.8467,731.1964,789.7009,-14.9296,3235.7143,4371.4286,-3.0214,-7.3932,"N/A",N/A,N/A,N/A,-4875.2141,3697,848.9013,552.4895,-7.3303,1713,1984,-14.3433,363.5705,485.3308,"N/A",0.6968,0.4869,182.088,2.6695,1.2961,341.5295,5.0069,2.8095
"rJw1janpdhQEKuCkZzyg","09/04/2024","14:40:14","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",677.363,0.3807,188.6976,-0.303,5488.0952,-5272.8428,1597,235.7672,1216.3571,179.5724,1597,235.7672,1473.6414,217.5556,1685,248.7588,0.261,39.1892,0.168,25.2252,0.237,35.5856,0.582,0.666,90.087,189.502,553.921,279.589,2.1035,-0.8438,-1.3068,1.6287,2.7328,2.8292,-922.5266,-13.3606,-1264.5605,-18.3142,2195.0248,31.7897,56.5767,3906.521,-0.5636,794,803,1.5248,617.4524,598.9048,-1.9585,826,859,-1.4451,726.173,747.4684,-1.3015,2708.3333,2779.7619,3.0154,-2.8372,"N/A",N/A,N/A,N/A,-3651.495,4111,835.029,606.9124,6.0083,2179,1932,-4.0958,400.4138,434.6152,"N/A",0.8739,0.5716,203.884,2.9528,1.3047,350.037,5.0695,2.7445
"P3uP4N9cUCECL2Fzzkgh","09/03/2024","14:41:25","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",677.615,0.3594,183.391,-0.3081,5867.0886,-5219.8692,1608,237.3029,1269.9114,187.409,1608,237.3029,1467.6293,216.5875,1744,257.3733,0.31,44.2857,0.158,22.5714,0.232,33.1429,0.56,0.7,93.1153,184.0713,541.4565,277.1867,1.9768,-0.8425,-1.3485,1.6459,2.655,2.7699,-968.3661,-14.0193,-1408.4856,-20.391,2168.406,31.3926,54.4646,3762.0813,-5.2239,762,846,-3.9901,609.6203,660.2911,-1.9495,855,889,-1.3351,724.0172,743.6121,-16.9364,2436.7089,3430.3797,-7.6169,-2.6622,"N/A",N/A,N/A,N/A,-4164.591,3464,824.8954,511.2047,11.7783,1936,1528,-0.7456,409.3723,415.5231,"N/A",0.8,0.5133,200.1785,2.898,1.3481,341.278,4.9408,2.6648
"2LtvCiCptQ0TBwBxj58I","09/03/2024","14:37:37","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",674.251,0.3909,190.3319,-0.3048,7900,-5822.7971,1775,263.2551,1381.1929,204.8485,1775,263.2551,1519.4933,225.3602,1794,266.073,0.281,43.4985,0.14,21.6718,0.225,34.8297,0.572,0.646,98.4114,191.051,535.564,289.4624,1.9414,-0.9023,-1.433,1.7061,2.7692,2.8672,-1112.4181,-16.1851,-1559.0307,-22.6831,2325.6759,33.8374,57.7098,3966.4498,-2.9859,861,914,-3.3517,667.45,713.7429,-2.4526,875,919,-0.7324,754.1822,765.3111,-4.1591,3785.7143,4114.2857,-6.4814,-1.4698,"980",N/A,N/A,N/A,-3830.6891,3891,879.2857,577.0848,9.1236,2123,1768,0.6506,442.5031,436.7827,"1.2946",0.8854,0.605,192.8065,2.8052,1.4318,342.7575,4.9869,2.7797
"cVbMlxmT4feseJoPfk35","08/30/2024","12:57:24","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",679.216,0.3833,189.8345,-0.3411,6832.2148,-4958.7862,1692,249.1107,1392.6644,205.04,1692,249.1107,1429.0356,210.3949,1696,249.6997,0.31,43.5393,0.149,20.927,0.253,35.5337,0.574,0.712,105.7883,190.5304,569.3635,296.3187,1.8011,-0.9298,-1.5288,1.664,2.7418,2.8362,-1174.4818,-16.9632,-1697.9083,-24.5231,2162.4046,31.2319,53.615,3712.1456,-2.1277,828,864,-5.4114,658.651,734.0134,-1.7689,833,863,-0.6312,710.0079,719.0277,-0.1965,3409.396,3422.8188,-10.2901,-1.2701,"850",N/A,N/A,N/A,-4053.9866,2719,913.2953,400.3145,53.3652,2085,634,10.107,502.8012,410.4941,"18.3678",0.8062,0.5381,206.9915,2.9896,1.5279,362.372,5.2338,2.7519
"dnlyn33CCwOhPMctZMc3","08/30/2024","12:54:18","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",679.964,0.3772,188.5891,-0.3048,8562.963,-6032.5369,1838,270.3084,1422.1111,209.1451,1838,270.3084,1549.0599,227.815,1862,273.838,0.329,48.3113,0.135,19.8238,0.217,31.8649,0.573,0.681,99.6049,189.4888,528.441,289.0937,1.9024,-0.9019,-1.4408,1.6897,2.7208,2.8145,-1146.1803,-16.5362,-1607.4148,-23.1905,2335.3656,33.6929,56.6943,3929.6727,-5.3319,870,968,-5.7489,670.1778,751.9333,-5.1557,883,979,-3.1385,750.2212,798.8387,-6.2284,4014.8148,4548.1481,-10.8696,-6.0977,"N/A",N/A,N/A,N/A,-3829.8585,4100,832.7327,602.9731,4,2132,1968,2.1152,425.1733,407.5593,"N/A",0.8414,0.5541,191.4,2.7614,1.437,337.041,4.8626,2.7338
"n1jcN77mar9lc3fdBjy4","08/29/2024","16:43:47","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",685.935,0.3823,191.4634,-0.3002,8042.8571,-6022.738,1808,263.5818,1379.4357,201.103,1806,263.2903,1534.8717,223.7634,1833,267.2265,0.285,43.7788,0.14,21.5054,0.226,34.7158,0.565,0.651,96.5211,192.7502,540.3235,289.2713,1.997,-0.878,-1.3894,1.6983,2.7382,2.8405,-1084.313,-15.5075,-1508.1249,-21.5687,2328.947,33.3078,55.9341,3911.0275,-5.8693,850,956,-1.1739,681.6214,697.8143,-5.401,867,966,-4.2196,735.0531,799.8186,-19.5382,3235.7143,4807.1429,-2.2156,-8.0917,"1190",N/A,N/A,N/A,-4939.9571,3127,849.4504,455.8741,-21.1385,1233,1894,-12.3993,372.0622,477.3882,"22.075",0.8679,0.587,192.552,2.7538,1.3804,347.7715,4.9737,2.7566
"A5bY5XYFMi4mfoBoxRrH","08/29/2024","16:40:42","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",684.321,0.3874,192.326,-0.2548,10229.5082,-7567.1785,1927,281.593,1459.8852,213.3334,1927,281.593,1650.4623,241.1825,1999,292.1144,0.259,44.6552,0.122,21.0345,0.199,34.3103,0.577,0.58,93.9888,193.2051,506.861,287.194,2.0556,-0.86,-1.3507,1.7172,2.7571,2.839,-1110.0547,-15.9131,-1541.5926,-22.0993,2512.0269,36.0109,59.2091,4130.2775,1.8163,981,946,2.4368,747.7295,712.1557,0.6503,1006,993,-0.0274,825.005,825.4573,0.1603,5122.9508,5106.5574,4.773,-0.0473,"N/A",N/A,N/A,N/A,-5960.974,3769,863.0208,550.7649,47.4131,2778,991,-4.5059,412.0668,450.954,"N/A",0.9948,0.668,177.476,2.5442,1.3474,329.385,4.7219,2.7697
"lW9gkfUNyS4ySEOt5u3M","08/26/2024","17:20:13","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",677.089,0.4135,196.5814,-0.2951,7985.4015,-6018.6096,1776,262.2993,1367.854,202.0198,1776,262.2993,1531.613,226.2056,1805,266.5824,0.278,43.1008,0.137,21.2403,0.23,35.6589,0.594,0.645,94.0828,197.4095,539.984,291.4923,2.0983,-0.8644,-1.3657,1.7321,2.8482,2.9373,-1055.159,-15.2877,-1468.7775,-21.2804,2394.0447,34.6861,58.6688,4049.3392,-8.6712,811,965,-4.4921,653.2044,714.6496,-7.1468,838,967,-4.9204,728.1261,803.487,-19.7441,3204.3796,4781.0219,-8.5173,-9.3902,"N/A",N/A,N/A,N/A,-5638.1943,3499,945.4959,516.7711,-5.2301,1658,1841,-9.145,429.5151,515.9808,"N/A",0.9209,0.641,186.844,2.7071,1.3631,353.14,5.1165,2.8602
"SoCUlc60nIrvYaUtPXfC","08/26/2024","17:18:08","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",678.338,0.411,196.3227,-0.3096,7187.9195,-5656.8701,1752,258.2783,1372.0067,202.26,1750,257.9835,1513.1653,223.0695,1754,258.5732,0.242,38.5965,0.149,23.764,0.236,37.6396,0.592,0.627,102.8151,197.8777,561.853,300.6929,1.9246,-0.9514,-1.4999,1.7129,2.8392,2.9346,-1167.4048,-16.8828,-1589.8048,-22.9915,2346.9331,33.9409,58.968,4077.4944,-5.4857,827,923,-6.1395,643.8859,728.1208,-4.9031,834,920,-3.5902,729.4195,783.7458,-6.2558,3369.1275,3818.7919,-11.5686,-6.9315,"N/A",N/A,N/A,N/A,-5502.6781,4774,1101.1959,703.7789,-2.346,2331,2443,-17.0346,456.8058,644.39,"N/A",0.9442,0.6553,203.8875,2.9486,1.4869,357.9655,5.1768,2.8617
"YHLuK1zvLZ4RNQ7fzlcW","08/26/2024","17:16:30","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",679.849,0.3922,192.2297,-0.3495,7866.1972,-5157.5569,1802,265.0589,1377.9718,202.6879,1802,265.0589,1533.3761,225.5466,1818,267.4123,0.28,43.2099,0.142,21.9136,0.226,34.8765,0.592,0.648,98.5689,193.7781,542.5315,292.3471,1.9659,-0.9192,-1.4353,1.6946,2.7738,2.8596,-1127.6101,-16.271,-1553.5168,-22.4167,2335.8156,33.7051,56.3782,3907.1035,-2.7747,876,926,-1.7795,676.7254,701.2465,-2.8603,883,935,-2.254,749.4071,783.969,-6.5354,3676.0563,4190.1408,-3.4706,-4.4004,"N/A",N/A,N/A,N/A,-3944.0695,3334,949.1593,490.403,2.2795,1705,1629,4.6427,496.6131,452.5462,"N/A",0.9136,0.6052,195.1075,2.8153,1.4223,347.424,5.0132,2.7962
"LKCVM7xWHs9TOmdZjQax","08/23/2024","12:55:42","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",687.029,0.4161,200.0809,-0.3322,8064.7482,-5445.3759,1809,263.3077,1459.3957,212.4213,1821,265.0543,1502.3049,218.6669,1809,263.3077,0.313,44.8424,0.139,19.914,0.246,35.2436,0.607,0.698,106.79,201.4449,572.741,308.2348,1.8864,-0.952,-1.5348,1.7372,2.8569,2.9469,-1247.5169,-17.8131,-1770.2985,-25.2779,2359.341,33.6887,57.0422,3994.8649,-3.1301,882,939,-1.3142,720.1079,739.2878,-3.2615,875,934,-3.4714,725.0772,777.2276,-8.1178,3705.036,4359.7122,-2.5573,-6.7003,"N/A",N/A,N/A,N/A,-5633.63,3825,902.7096,556.7451,-2.4314,1866,1959,-1.4292,444.9038,457.8058,"N/A",0.8696,0.596,202.287,2.8884,1.5248,370.454,5.2897,2.8764
"0ypOtvCRDtPl5DztFcfe","08/23/2024","12:52:21","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",685.607,0.4227,201.2741,-0.3228,7664.2857,-5456.3831,1762,256.9985,1439.45,209.9526,1768,257.8737,1540.411,224.6784,1762,256.9985,0.266,41.433,0.14,21.8069,0.236,36.7601,0.601,0.642,104.9935,202.5917,565.3735,307.5853,1.9296,-0.9322,-1.5119,1.7116,2.8799,2.9594,-1209.6471,-17.3082,-1726.5055,-24.7037,2405.6882,34.4218,59.4752,4156.6392,-3.3937,854,914,-2.563,701.2786,738.1714,-3.5187,850,912,-2.6333,749.9237,790.4873,-6.8034,3571.4286,4092.8571,-4.9775,-5.1395,"N/A",N/A,N/A,N/A,-6779.8988,4813,838.2919,702.0057,2.5556,2468,2345,-22.4614,325,513.2919,"N/A",0.9361,0.6585,200.9785,2.8757,1.5023,364.395,5.2139,2.8988
"DWx0gwpTVIfHlsS4DSDK","08/22/2024","16:44:12","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",688.023,0.4379,205.5987,-0.3467,8165.4676,-5258.3957,1823,264.9621,1491.036,216.7131,1841,267.5783,1513.848,220.0287,1823,264.9621,0.297,43.2945,0.139,20.2624,0.25,36.4431,0.614,0.686,111.0443,207.3438,586.029,318.3881,1.8672,-0.992,-1.5989,1.7652,2.9315,3.0136,-1327.4617,-18.9273,-1879.9586,-26.8049,2423.8823,34.5603,58.2924,4088.3309,-6.2466,863,978,-4.3464,713.1151,777.9209,-5.2112,864,959,-3.4825,730.564,783.284,-13.4802,3532.3741,4633.0935,-8.2848,-6.727,"920",N/A,N/A,N/A,-5892.6231,4806,924.6533,698.5232,-7.3658,2226,2580,-9.3025,419.3185,505.3348,"17.0282",0.895,0.6385,206.6795,2.9469,1.5833,379.3495,5.4089,2.9564
"LDfLWu5u34881U0AS1de","08/22/2024","16:41:51","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",689.079,0.4206,201.8098,-0.3434,8398.5507,-5384.7136,1849,268.3292,1483.7319,215.321,1849,268.3292,1509.1382,219.008,1849,268.3292,0.288,42.8571,0.138,20.5357,0.246,36.6071,0.608,0.672,109.0746,202.6341,576.315,311.7087,1.8578,-0.9562,-1.5553,1.7583,2.873,2.9586,-1274.538,-18.1448,-1826.9815,-26.0096,2394.0286,34.0823,56.5888,3974.939,-4.1644,886,963,-3.4319,716.4058,767.3261,-4.1644,886,963,-3.2356,730.1545,778.9837,-6.4711,3927.5362,4471.0145,-6.6193,-6.2605,"N/A",N/A,N/A,N/A,-5794.2623,4471,764.4184,648.8371,-4.1825,2142,2329,-30.088,267.2103,497.2081,"N/A",0.9048,0.6261,204.1675,2.9066,1.5528,372.1475,5.298,2.8848
"YMeFLV09XtUmLrPU9S7w","08/22/2024","16:39:40","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",688.532,0.412,199.5207,-0.3185,6682.1192,-5347.7693,1703,247.3378,1331.351,193.3608,1703,247.3378,1526.8277,221.7512,1757,255.1806,0.301,43.6232,0.151,21.8841,0.238,34.4928,0.595,0.69,96.5557,200.3464,564.741,296.9021,2.0749,-0.8673,-1.378,1.7066,2.8427,2.9259,-1038.4633,-14.7957,-1436.1892,-20.4624,2370.6715,33.7766,57.5112,4036.5276,-4.1691,816,887,-5.3752,629.894,701.457,-2.9027,853,904,-1.8171,749.542,777.2857,-3.8652,3211.9205,3470.1987,-10.2087,-3.5894,"N/A",N/A,N/A,N/A,-5.8408,5082,680.479,738.0921,6.6903,2711,2371,-23.05,261.8142,418.6648,"N/A",0.8623,0.5969,200.524,2.857,1.3757,364.217,5.1893,2.8545
