"TestId","Date","Time","Name","Segment","Position","Type","Excluded","Tags","System Weight","Jump Height","Jump Momentum","Countermovement Depth","Braking RFD","Stiffness","Force at Min Displacement","Relative Force at Min Displacement","Avg. Braking Force","Avg. Relative Braking Force","Peak Braking Force","Peak Relative Braking Force","Avg. Propulsive Force","Avg. Relative Propulsive Force","Peak Propulsive Force","Peak Relative Propulsive Force","Unweighting Phase","Unweighting Phase %","Braking Phase","Braking Phase %","Propulsive Phase","Propulsive Phase %","Flight Time","Time To Takeoff","Braking Net Impulse","Propulsive Net Impulse","Positive Impulse","Positive Net Impulse","Impulse Ratio","Avg. Braking Velocity","Peak Braking Velocity","Avg. Propulsive Velocity","Takeoff Velocity","Peak Velocity","Avg. Braking Power","Avg. Relative Braking Power","Peak Braking Power","Peak Relative Braking Power","Avg. Propulsive Power","Avg. Relative Propulsive Power","Peak Relative Propulsive Power","Peak Propulsive Power","L|R Peak Braking Force","Left Force at Peak Braking Force","Right Force at Peak Braking Force","L|R Avg. Braking Force","Left Avg. Braking Force","Right Avg. Braking Force","L|R Peak Propulsive Force","Left Force at Peak Propulsive Force","Right Force at Peak Propulsive Force","L|R Avg. Propulsive Force","Left Avg. Propulsive Force","Right Avg. Propulsive Force","L|R Avg. Braking RFD","Left Avg. Braking RFD","Right Avg. Braking RFD","L|R Braking Impulse Index","L|R Propulsive Impulse Index","Time to Stabilization","Landing Height","Landing Performance Index","Landing Phase","Landing Stiffness","Peak Landing Force","Avg. Landing Force","Relative Peak Landing Force","L|R Peak Landing Force","Left Force at Peak Landing Force","Right Force at Peak Landing Force","L|R Avg. Landing Force","Left Avg. Landing Force","Right Avg. Landing Force","L|R Landing Impulse Index","RSI","mRSI","Braking Impulse","Relative Braking Impulse","Relative Braking Net Impulse","Propulsive Impulse","Relative Propulsive Impulse","Relative Propulsive Net Impulse"
"IPC3sGoHtwDqJxqOArEc","03/04/2025","15:22:03","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",647.839,0.3371,169.8258,-0.2426,7365.6716,-6756.4173,1639,252.995,1225.4552,189.1605,1639,252.995,1444.5399,222.9782,1822,281.2427,0.264,43.2079,0.134,21.9313,0.213,34.8609,0.52,0.611,76.9026,170.5013,472.204,247.4039,2.2171,-0.7481,-1.1653,1.6842,2.5716,2.7375,-819.2893,-12.4062,-1101.5578,-16.6805,2120.0304,32.1029,57.5048,3797.5385,-7.1385,761,878,-10.1461,550.5597,674.8955,-4.5005,870,952,-0.4995,718.662,725.8779,-0.304,3671.6418,3694.0299,-18.4708,-1.039,"1010",0.3216,1.4352,0.224,-8099.3717,2841,820.8446,438.5349,-3.4143,1372,1469,0.0185,410.498,410.3465,"0.0574",0.8511,0.5517,163.713,2.479,1.1645,308.491,4.6714,2.5818
"wfU9LmX4YCjIbsyaurKa","03/04/2025","15:18:32","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",647.171,0.3444,171.5145,-0.3076,7235.7143,-5414.5011,1665,257.2736,1274.3929,196.9175,1665,257.2736,1402.6784,216.74,1703,263.1453,0.327,47.1182,0.14,20.1729,0.227,32.7089,0.528,0.694,87.2991,172.3187,497.1295,259.6177,1.9739,-0.8395,-1.3261,1.6681,2.5999,2.7407,-957.629,-14.516,-1325.005,-20.0848,2065.3309,31.3069,53.9407,3558.4978,-6.5465,778,887,-6.6211,595.0071,679.3857,-3.4645,822,881,-1.2877,692.3084,710.37,-10.9576,3221.4286,4014.2857,-12.398,-2.578,"1370",0.3335,1.5435,0.216,-6342.3349,2413,775.1912,372.8535,22.5031,1478,935,-8.6581,354.0372,421.154,"15.9166",0.7608,0.4964,177.903,2.6967,1.3233,319.2265,4.8389,2.6121
"Ynw2deDiD9uV73x1nie9","02/25/2025","15:20:03","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",639.716,0.4158,186.2882,-0.3284,8432.8358,-5391.0079,1770,276.6853,1357.0075,212.1265,1769,276.529,1477.4305,230.951,1783,278.7174,0.239,40.1007,0.134,22.4832,0.223,37.4161,0.592,0.596,95.5476,187.6783,511.6045,283.2259,1.9642,-0.9418,-1.4772,1.7595,2.8567,2.9468,-1133.4461,-17.3813,-1666.6386,-25.5578,2322.8062,35.6201,59.2947,3866.6428,2.3177,905,864,5.9025,718.5522,638.4552,0.2804,894,889,-0.5454,734.6861,742.7444,-11.6814,3723.8806,4708.9552,11.2435,-1.0785,"1520",0.4366,1.395,0.313,-3072.2147,3335,772.0316,521.3251,0.6897,1679,1656,-4.3919,369.0625,402.9691,"8.4173",0.9933,0.6979,181.2695,2.7798,1.4652,330.335,5.0657,2.878
"ucoE7y1Lz39yF9xJa9eb","02/25/2025","15:18:09","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",640.179,0.4168,186.5863,-0.2936,8431.8182,-5962.9508,1750,273.361,1344.1288,209.9614,1748,273.0486,1464.5859,228.7776,1763,275.3917,0.272,43.1062,0.132,20.9192,0.227,35.9746,0.578,0.631,92.3584,187.9984,510.181,280.3567,2.0355,-0.8915,-1.4277,1.7689,2.8592,2.9589,-1074.4956,-16.4654,-1485.4801,-22.7633,2311.4377,35.4201,59.7477,3899.0051,-4.2334,837,911,-11.0125,598.053,746.0758,-2.2121,862,901,-1.5848,720.6872,743.8987,-3.504,4068.1818,4363.6364,-19.8778,-3.1397,"1280",0.3988,1.5453,0.258,-5747.7784,3738,792.0727,583.8992,11.343,2081,1657,5.5865,418.1609,373.9117,"10.5782",0.916,0.6603,176.862,2.7102,1.4153,333.319,5.1077,2.8809
"1jWNWQYkuQ0O7t9ziR3q","02/25/2025","15:16:01","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",640.463,0.3934,181.402,-0.27,7963.2353,-6389.0735,1725,269.3364,1244.1544,194.2586,1721,268.7119,1506.1571,235.1669,1810,282.6081,0.313,47.4962,0.136,20.6373,0.21,31.8665,0.557,0.659,81.5565,182.6368,485.7935,264.1933,2.2394,-0.8179,-1.2589,1.7222,2.7785,2.8739,-904.179,-13.8493,-1216.8023,-18.6378,2307.2215,35.3398,59.6443,3893.9828,-2.1499,842,879,-2.8327,604.4559,639.6985,-2.0994,886,924,-3.3984,727.4857,778.6714,-9.1413,3617.6471,4345.5882,-5.4711,-6.5619,"N/A",0.3612,1.1079,0.326,-3974.3891,2776,716.5331,433.4364,-5.0432,1318,1458,4.6515,374.9314,341.6016,"N/A",0.8452,0.5971,168.6595,2.5834,1.2492,317.134,4.8576,2.7975
"3XfaEHXxDS230sCT13yR","02/22/2025","12:05:49","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",637.234,0.3726,175.6386,-0.284,7192.5926,-5685.5598,1614,253.2822,1238.8519,194.4108,1611,252.8114,1419.6711,222.7865,1674,262.6978,0.33,47.8261,0.135,19.5652,0.225,32.6087,0.559,0.69,80.7279,176.8373,486.9695,257.5653,2.1905,-0.7947,-1.2518,1.6653,2.7039,2.81,-883.4193,-13.5999,-1259.7636,-19.3936,2120.2848,32.6411,56.5943,3676.2295,-1.5518,793,818,-6.4127,579.7037,659.1481,-0.4779,833,841,-2.348,693.1689,726.5022,5.4583,3792.5926,3400,-12.114,-4.5843,"1120",0.3901,1.4447,0.27,-4107.8213,2452,799.4036,384.788,-19.4127,988,1464,-17.2682,330.6804,468.7232,"29.421",0.8101,0.54,166.7545,2.5671,1.2428,320.215,4.9296,2.7224
"6Ks6tb13bSpIvYpibJwF","02/22/2025","11:59:50","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",638.509,0.3739,176.2671,-0.2918,5852.349,-5189.9983,1515,237.2715,1209.906,189.4893,1515,237.2715,1422.0178,222.7091,1669,261.3902,0.254,40.4459,0.149,23.7261,0.225,35.828,0.554,0.628,84.6977,177.028,500.528,261.7256,2.0901,-0.7891,-1.3036,1.6413,2.7082,2.8046,-875.0674,-13.4445,-1355.4621,-20.8252,2112.4939,32.4562,56.1354,3653.7191,-12.4752,663,852,-8.0299,556.3758,653.5302,-5.2127,791,878,-3.7493,684.3511,737.6667,-30.7339,2026.8456,3825.5034,-14.7725,-7.2837,"990",0.3759,1.4631,0.257,-4344.2002,2850,817.1677,446.3524,10.1754,1570,1280,-5.2082,387.304,429.8636,"9.9037",0.8822,0.5952,179.8355,2.763,1.3013,320.6925,4.9271,2.7198
"CPqzHcklKlREdiGO4RLl","02/18/2025","15:20:08","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",647.281,0.398,184.3508,-0.3256,8240.6015,-5356.0828,1744,269.4348,1392.1203,215.072,1749,270.2072,1438.7425,222.2748,1745,269.5893,0.265,41.9968,0.133,21.0777,0.233,36.9255,0.582,0.631,98.5076,185.2645,520.677,283.7722,1.8807,-0.9287,-1.4975,1.7295,2.794,2.8946,-1157.3541,-17.5405,-1608.7965,-24.3824,2228.5568,33.7753,57.1448,3770.515,-5.3173,828,921,-7.1584,646.2331,745.8872,-5.1003,828,917,-2.3414,702.5279,736.2146,-0.9124,4082.7068,4157.8947,-13.3914,-4.595,"N/A",0.4303,1.3876,0.31,-2866.0967,2087,812.5208,322.4257,-13.4643,903,1184,-18.5238,331.0054,481.5154,"N/A",0.9223,0.6305,184.596,2.7977,1.493,336.081,5.0935,2.8078
"ZnyDnXrwql8q4m8KruDI","02/18/2025","15:18:00","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",643.901,0.4145,187.1939,-0.2918,7863.6364,-5788.3058,1689,262.3074,1317.2197,204.5687,1688,262.1521,1467.307,227.8777,1725,267.8983,0.289,44.53,0.132,20.339,0.228,35.131,0.571,0.649,88.3521,188.5656,508.722,276.9176,2.1343,-0.8432,-1.3575,1.7406,2.8519,2.9487,-1001.1144,-15.2522,-1398.9491,-21.3134,2295.466,34.972,59.7574,3922.3087,-3.436,815,873,-5.7231,620.9167,696.303,-2.8406,838,887,-2.4128,715.9518,751.3553,-0.7707,3901.5152,3962.1212,-10.8536,-4.7353,"N/A",0.3825,1.0626,0.36,-7393.8867,4349,839.3348,675.4144,-2.9202,2111,2238,-3.9731,402.9936,436.3412,"N/A",0.8798,0.6388,173.347,2.641,1.3461,335.375,5.1095,2.8728
"3VjckW2JB4ZCqICBC1u6","02/18/2025","15:15:56","5E9krELhCQ7yLvDGYsGo",,"","Countermovement Jump","","",644.872,0.3962,183.3071,-0.303,8611.9403,-5931.0669,1798,278.815,1331.9254,206.541,1798,278.815,1467.0897,227.5009,1814,281.2961,0.272,43.2432,0.134,21.3037,0.223,35.4531,0.574,0.629,91.4832,184.2305,505.933,275.7137,2.0138,-0.8923,-1.3965,1.7496,2.7885,2.8833,-1053.7635,-16.0302,-1454.7842,-22.1306,2278.2551,34.6575,56.8117,3734.5814,-3.337,869,929,-3.1612,644.9104,687.0149,-2.8666,881,933,-1.1581,725.0493,742.0404,-10.2253,3865.6716,4746.2687,-6.0857,-2.3028,"N/A",0.4069,1.647,0.247,-4701.2012,3123,879.5503,484.2822,13.4806,1772,1351,16.8722,513.9749,365.5754,"N/A",0.9126,0.6301,177.896,2.7062,1.3917,328.037,4.9902,2.8026
